question,model,en_model_answer,en_correct_answer,modified_model_answer,modified_correct_answer,gr_model_answer,gr_correct_answer,confidence_score,nlp_score,levenshtein_score,substring_score,sentence_transformers_score,greek_sentence_transformers_score,F1_score,weighted_total_score,is_correct (labeled by human),is_correct (labeled by machine),is_correct (labeled by human)
,bert-large-cased-whole-word-masking-finetuned-squad,adults,"Children, adolescents and adults",adults,children adolescents and adults,ενήλικες,"Παιδιά, έφηβοι και ενήλικες",0.972746015,0.906,0.194,0.324,0.554,0.737,0.4,0.5346,partially,partially,partially
What problems result in minimum participation in sports activities?,deepset/roberta-base-squad2,"necessarily working hours, difficulties in moving, feeling tired after work","Required working hours, difficulties in moving, feeling tired after work",necessarily working hours difficulties in moving feeling tired after work,required working hours difficulties in moving feeling tired after work,"κατ' ανάγκη ωράριο εργασίας, δυσκολίες στη μετακίνηση, αίσθημα κόπωσης μετά την εργασία","Απαιτητικά ωράρια εργασίας, δυσκολίες στη μετακίνηση, η αίσθηση κόπωσης μετά τη δουλειά",0.711298943,0.989,0.877,0.895,0.989,0.981,0.9,0.9506,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,"working hours, difficulties in moving, feeling tired after work","Required working hours, difficulties in moving, feeling tired after work",working hours difficulties in moving feeling tired after work,required working hours difficulties in moving feeling tired after work,"ώρες εργασίας, δυσκολίες στη μετακίνηση, αίσθημα κόπωσης μετά την εργασία","Απαιτητικά ωράρια εργασίας, δυσκολίες στη μετακίνηση, η αίσθηση κόπωσης μετά τη δουλειά",0.904894948,0.991,0.871,0.931,0.992,0.949,0.947368421,0.964673684,yes,yes,yes
,distilbert-base-cased-distilled-squad,"working hours, difficulties in moving, feeling tired after work","Required working hours, difficulties in moving, feeling tired after work",working hours difficulties in moving feeling tired after work,required working hours difficulties in moving feeling tired after work,"ώρες εργασίας, δυσκολίες στη μετακίνηση, αίσθημα κόπωσης μετά την εργασία","Απαιτητικά ωράρια εργασίας, δυσκολίες στη μετακίνηση, η αίσθηση κόπωσης μετά τη δουλειά",0.517090976,0.991,0.871,0.931,0.992,0.949,0.947368421,0.964673684,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,"working hours, difficulties in moving, feeling tired after work","Required working hours, difficulties in moving, feeling tired after work",working hours difficulties in moving feeling tired after work,required working hours difficulties in moving feeling tired after work,"ώρες εργασίας, δυσκολίες στη μετακίνηση, αίσθημα κόπωσης μετά την εργασία","Απαιτητικά ωράρια εργασίας, δυσκολίες στη μετακίνηση, η αίσθηση κόπωσης μετά τη δουλειά",0.648423791,0.991,0.871,0.931,0.992,0.949,0.947368421,0.964673684,yes,yes,yes
,distilbert-base-uncased-distilled-squad,"difficulties in moving, feeling tired after work","Required working hours, difficulties in moving, feeling tired after work",difficulties in moving feeling tired after work,required working hours difficulties in moving feeling tired after work,"Δυσκολίες στη μετακίνηση, αίσθημα κόπωσης μετά την εργασία","Απαιτητικά ωράρια εργασίας, δυσκολίες στη μετακίνηση, η αίσθηση κόπωσης μετά τη δουλειά",0.565120161,0.963,0.671,0.803,0.938,0.882,0.823529412,0.879905882,partially,yes,partially
,rsvp-ai/bertserini-bert-base-squad,"working hours, difficulties in moving, feeling tired after work","Required working hours, difficulties in moving, feeling tired after work",working hours difficulties in moving feeling tired after work,required working hours difficulties in moving feeling tired after work,"ώρες εργασίας, δυσκολίες στη μετακίνηση, αίσθημα κόπωσης μετά την εργασία","Απαιτητικά ωράρια εργασίας, δυσκολίες στη μετακίνηση, η αίσθηση κόπωσης μετά τη δουλειά",0.506338835,0.991,0.871,0.931,0.992,0.949,0.947368421,0.964673684,yes,yes,yes
,deepset/minilm-uncased-squad2,"working hours, difficulties in moving, feeling tired after work","Required working hours, difficulties in moving, feeling tired after work",working hours difficulties in moving feeling tired after work,required working hours difficulties in moving feeling tired after work,"ώρες εργασίας, δυσκολίες στη μετακίνηση, αίσθημα κόπωσης μετά την εργασία","Απαιτητικά ωράρια εργασίας, δυσκολίες στη μετακίνηση, η αίσθηση κόπωσης μετά τη δουλειά",0.865419984,0.991,0.871,0.931,0.992,0.949,0.947368421,0.964673684,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,"working hours, difficulties in moving, feeling tired after work","Required working hours, difficulties in moving, feeling tired after work",working hours difficulties in moving feeling tired after work,required working hours difficulties in moving feeling tired after work,"ώρες εργασίας, δυσκολίες στη μετακίνηση, αίσθημα κόπωσης μετά την εργασία","Απαιτητικά ωράρια εργασίας, δυσκολίες στη μετακίνηση, η αίσθηση κόπωσης μετά τη δουλειά",0.705420375,0.991,0.871,0.931,0.992,0.949,0.947368421,0.964673684,yes,yes,yes
,deepset/bert-base-cased-squad2,"working hours, difficulties in moving, feeling tired after work","Required working hours, difficulties in moving, feeling tired after work",working hours difficulties in moving feeling tired after work,required working hours difficulties in moving feeling tired after work,"ώρες εργασίας, δυσκολίες στη μετακίνηση, αίσθημα κόπωσης μετά την εργασία","Απαιτητικά ωράρια εργασίας, δυσκολίες στη μετακίνηση, η αίσθηση κόπωσης μετά τη δουλειά",0.200689048,0.991,0.871,0.931,0.992,0.949,0.947368421,0.964673684,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,"working hours, difficulties in moving, feeling tired after work","Required working hours, difficulties in moving, feeling tired after work",working hours difficulties in moving feeling tired after work,required working hours difficulties in moving feeling tired after work,"ώρες εργασίας, δυσκολίες στη μετακίνηση, αίσθημα κόπωσης μετά την εργασία","Απαιτητικά ωράρια εργασίας, δυσκολίες στη μετακίνηση, η αίσθηση κόπωσης μετά τη δουλειά",0.539512515,0.991,0.871,0.931,0.992,0.949,0.947368421,0.964673684,yes,yes,yes
Apart from the duration of the exercise what else plays a very important role?,deepset/roberta-base-squad2,frequency,The frequency of exercise,frequency,the frequency of exercise,συχνότητα,Η συχνότητα της άσκησης,0.414907068,0.671,0.36,0.529,0.839,0.698,0.4,0.6387,yes,partially,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,frequency,The frequency of exercise,frequency,the frequency of exercise,συχνότητα,Η συχνότητα της άσκησης,0.643586934,0.671,0.36,0.529,0.839,0.698,0.4,0.6387,yes,partially,yes
,distilbert-base-cased-distilled-squad,frequency,The frequency of exercise,frequency,the frequency of exercise,συχνότητα,Η συχνότητα της άσκησης,0.601465762,0.671,0.36,0.529,0.839,0.698,0.4,0.6387,yes,partially,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,frequency,The frequency of exercise,frequency,the frequency of exercise,συχνότητα,Η συχνότητα της άσκησης,0.831772745,0.671,0.36,0.529,0.839,0.698,0.4,0.6387,yes,partially,yes
,distilbert-base-uncased-distilled-squad,frequency,The frequency of exercise,frequency,the frequency of exercise,συχνότητα,Η συχνότητα της άσκησης,0.521599114,0.671,0.36,0.529,0.839,0.698,0.4,0.6387,yes,partially,yes
,rsvp-ai/bertserini-bert-base-squad,frequency,The frequency of exercise,frequency,the frequency of exercise,συχνότητα,Η συχνότητα της άσκησης,0.723120987,0.671,0.36,0.529,0.839,0.698,0.4,0.6387,yes,partially,yes
,deepset/minilm-uncased-squad2,frequency,The frequency of exercise,frequency,the frequency of exercise,συχνότητα,Η συχνότητα της άσκησης,0.712224185,0.671,0.36,0.529,0.839,0.698,0.4,0.6387,yes,partially,yes
,dmis-lab/biobert-large-cased-v1.1-squad,frequency,The frequency of exercise,frequency,the frequency of exercise,συχνότητα,Η συχνότητα της άσκησης,0.811202049,0.671,0.36,0.529,0.839,0.698,0.4,0.6387,yes,partially,yes
,deepset/bert-base-cased-squad2,frequency,The frequency of exercise,frequency,the frequency of exercise,συχνότητα,Η συχνότητα της άσκησης,0.675576031,0.671,0.36,0.529,0.839,0.698,0.4,0.6387,yes,partially,yes
,bert-large-cased-whole-word-masking-finetuned-squad,frequency,The frequency of exercise,frequency,the frequency of exercise,συχνότητα,Η συχνότητα της άσκησης,0.587985158,0.671,0.36,0.529,0.839,0.698,0.4,0.6387,yes,partially,yes
What is the ideal exercise frequency?,deepset/roberta-base-squad2,five times a week,5 times a week,five times a week,5 times a week,5 φορές την εβδομάδα,πέντε φορές την εβδομάδα,0.634629309,0.942,0.765,0.839,0.976,0.993,0.75,0.8892,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,five times a week,5 times a week,five times a week,5 times a week,5 φορές την εβδομάδα,πέντε φορές την εβδομάδα,0.469749153,0.942,0.765,0.839,0.976,0.993,0.75,0.8892,yes,yes,yes
,distilbert-base-cased-distilled-squad,five times a week loose exercise,5 times a week,five times a week loose exercise,5 times a week,5 φορές την εβδομάδα χαλαρή άσκηση,πέντε φορές την εβδομάδα,0.473993808,0.866,0.406,0.565,0.86,0.861,0.6,0.7343,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,five times a week,5 times a week,five times a week,5 times a week,5 φορές την εβδομάδα,πέντε φορές την εβδομάδα,0.310050219,0.942,0.765,0.839,0.976,0.993,0.75,0.8892,yes,yes,yes
,distilbert-base-uncased-distilled-squad,five times a week loose exercise,5 times a week,five times a week loose exercise,5 times a week,5 φορές την εβδομάδα χαλαρή άσκηση,πέντε φορές την εβδομάδα,0.305634707,0.866,0.406,0.565,0.86,0.861,0.6,0.7343,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,five times a week,5 times a week,five times a week,5 times a week,5 φορές την εβδομάδα,πέντε φορές την εβδομάδα,0.259019613,0.942,0.765,0.839,0.976,0.993,0.75,0.8892,yes,yes,yes
,deepset/minilm-uncased-squad2,five times a week loose exercise,5 times a week,five times a week loose exercise,5 times a week,5 φορές την εβδομάδα χαλαρή άσκηση,πέντε φορές την εβδομάδα,0.317950279,0.866,0.406,0.565,0.86,0.861,0.6,0.7343,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,five times a week,5 times a week,five times a week,5 times a week,5 φορές την εβδομάδα,πέντε φορές την εβδομάδα,0.461824358,0.942,0.765,0.839,0.976,0.993,0.75,0.8892,yes,yes,yes
,deepset/bert-base-cased-squad2,five times a week,5 times a week,five times a week,5 times a week,5 φορές την εβδομάδα,πέντε φορές την εβδομάδα,0.804001212,0.942,0.765,0.839,0.976,0.993,0.75,0.8892,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,five times a week,5 times a week,five times a week,5 times a week,5 φορές την εβδομάδα,πέντε φορές την εβδομάδα,0.616497099,0.942,0.765,0.839,0.976,0.993,0.75,0.8892,yes,yes,yes
Where is obesity more pronounced?,deepset/roberta-base-squad2,cities,In the big cities,cities,in the big cities,πόλεις,Στις μεγαλουπόλεις,0.432362258,0.741,0.353,0.522,0.767,0.489,0.4,0.6225,partially,partially,partially
,bert-large-uncased-whole-word-masking-finetuned-squad,cities,In the big cities,cities,in the big cities,πόλεις,Στις μεγαλουπόλεις,0.508786023,0.741,0.353,0.522,0.767,0.489,0.4,0.6225,partially,partially,partially
,distilbert-base-cased-distilled-squad,Greece,In the big cities,greece,in the big cities,Ελλάδα,Στις μεγαλουπόλεις,0.873453856,0.203,0.176,0.174,0.351,0.597,0,0.216,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,cities,In the big cities,cities,in the big cities,πόλεις,Στις μεγαλουπόλεις,0.199287251,0.741,0.353,0.522,0.767,0.489,0.4,0.6225,partially,partially,partially
,distilbert-base-uncased-distilled-squad,cities,In the big cities,cities,in the big cities,πόλεις,Στις μεγαλουπόλεις,0.816901147,0.741,0.353,0.522,0.767,0.489,0.4,0.6225,partially,partially,partially
,rsvp-ai/bertserini-bert-base-squad,cities,In the big cities,cities,in the big cities,πόλεις,Στις μεγαλουπόλεις,0.305029243,0.741,0.353,0.522,0.767,0.489,0.4,0.6225,partially,partially,partially
,deepset/minilm-uncased-squad2,cities,In the big cities,cities,in the big cities,πόλεις,Στις μεγαλουπόλεις,0.549032509,0.741,0.353,0.522,0.767,0.489,0.4,0.6225,partially,partially,partially
,dmis-lab/biobert-large-cased-v1.1-squad,cities,In the big cities,cities,in the big cities,πόλεις,Στις μεγαλουπόλεις,0.858467102,0.741,0.353,0.522,0.767,0.489,0.4,0.6225,partially,partially,partially
,deepset/bert-base-cased-squad2,cities,In the big cities,cities,in the big cities,πόλεις,Στις μεγαλουπόλεις,0.749789655,0.741,0.353,0.522,0.767,0.489,0.4,0.6225,partially,partially,partially
,bert-large-cased-whole-word-masking-finetuned-squad,cities,In the big cities,cities,in the big cities,πόλεις,Στις μεγαλουπόλεις,0.320217371,0.741,0.353,0.522,0.767,0.489,0.4,0.6225,partially,partially,partially
Why is the phenomenon of obesity in the big cities intense?,deepset/roberta-base-squad2,there is limited space,Because there is limited space,there is limited space,because there is limited space,υπάρχει περιορισμένος χώρος,Γιατι υπάρχει περιορισμένος χώρος,0.459214121,0.985,0.733,0.846,0.942,0.842,0.888888889,0.909477778,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,limited space,Because there is limited space,limited space,because there is limited space,περιορισμένος χώρος,Γιατι υπάρχει περιορισμένος χώρος,0.364486635,0.851,0.433,0.605,0.922,0.753,0.571428571,0.757085714,yes,yes,yes
,distilbert-base-cased-distilled-squad,limited space,Because there is limited space,limited space,because there is limited space,περιορισμένος χώρος,Γιατι υπάρχει περιορισμένος χώρος,0.468053371,0.851,0.433,0.605,0.922,0.753,0.571428571,0.757085714,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,limited space,Because there is limited space,limited space,because there is limited space,περιορισμένος χώρος,Γιατι υπάρχει περιορισμένος χώρος,0.676765561,0.851,0.433,0.605,0.922,0.753,0.571428571,0.757085714,yes,yes,yes
,distilbert-base-uncased-distilled-squad,limited space,Because there is limited space,limited space,because there is limited space,περιορισμένος χώρος,Γιατι υπάρχει περιορισμένος χώρος,0.761431277,0.851,0.433,0.605,0.922,0.753,0.571428571,0.757085714,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,limited space,Because there is limited space,limited space,because there is limited space,περιορισμένος χώρος,Γιατι υπάρχει περιορισμένος χώρος,0.637201846,0.851,0.433,0.605,0.922,0.753,0.571428571,0.757085714,yes,yes,yes
,deepset/minilm-uncased-squad2,limited space,Because there is limited space,limited space,because there is limited space,περιορισμένος χώρος,Γιατι υπάρχει περιορισμένος χώρος,0.63882035,0.851,0.433,0.605,0.922,0.753,0.571428571,0.757085714,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,limited space,Because there is limited space,limited space,because there is limited space,περιορισμένος χώρος,Γιατι υπάρχει περιορισμένος χώρος,0.79696393,0.851,0.433,0.605,0.922,0.753,0.571428571,0.757085714,yes,yes,yes
,deepset/bert-base-cased-squad2,there is limited space,Because there is limited space,there is limited space,because there is limited space,υπάρχει περιορισμένος χώρος,Γιατι υπάρχει περιορισμένος χώρος,0.298277497,0.985,0.733,0.846,0.942,0.842,0.888888889,0.909477778,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,limited space,Because there is limited space,limited space,because there is limited space,περιορισμένος χώρος,Γιατι υπάρχει περιορισμένος χώρος,0.518245041,0.851,0.433,0.605,0.922,0.753,0.571428571,0.757085714,yes,yes,yes
What is the limited exercise combined with?,deepset/roberta-base-squad2,poor nutrition,With a poor diet.,poor nutrition,with a poor diet,κακή διατροφή,Με κακή διατροφή,0.972500741,0.771,0.188,0.4,0.946,0.979,0.333333333,0.658066667,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,poor nutrition,With a poor diet.,poor nutrition,with a poor diet,κακή διατροφή,Με κακή διατροφή,0.989742756,0.771,0.188,0.4,0.946,0.979,0.333333333,0.658066667,yes,yes,yes
,distilbert-base-cased-distilled-squad,poor nutrition,With a poor diet.,poor nutrition,with a poor diet,κακή διατροφή,Με κακή διατροφή,0.992429018,0.771,0.188,0.4,0.946,0.979,0.333333333,0.658066667,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,poor nutrition,With a poor diet.,poor nutrition,with a poor diet,κακή διατροφή,Με κακή διατροφή,0.960493922,0.771,0.188,0.4,0.946,0.979,0.333333333,0.658066667,yes,yes,yes
,distilbert-base-uncased-distilled-squad,poor nutrition,With a poor diet.,poor nutrition,with a poor diet,κακή διατροφή,Με κακή διατροφή,0.98113066,0.771,0.188,0.4,0.946,0.979,0.333333333,0.658066667,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,poor nutrition,With a poor diet.,poor nutrition,with a poor diet,κακή διατροφή,Με κακή διατροφή,0.976585865,0.771,0.188,0.4,0.946,0.979,0.333333333,0.658066667,yes,yes,yes
,deepset/minilm-uncased-squad2,poor nutrition,With a poor diet.,poor nutrition,with a poor diet,κακή διατροφή,Με κακή διατροφή,0.980954647,0.771,0.188,0.4,0.946,0.979,0.333333333,0.658066667,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,poor nutrition,With a poor diet.,poor nutrition,with a poor diet,κακή διατροφή,Με κακή διατροφή,0.984702945,0.771,0.188,0.4,0.946,0.979,0.333333333,0.658066667,yes,yes,yes
,deepset/bert-base-cased-squad2,poor nutrition,With a poor diet.,poor nutrition,with a poor diet,κακή διατροφή,Με κακή διατροφή,0.945936143,0.771,0.188,0.4,0.946,0.979,0.333333333,0.658066667,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,poor nutrition,With a poor diet.,poor nutrition,with a poor diet,κακή διατροφή,Με κακή διατροφή,0.995330334,0.771,0.188,0.4,0.946,0.979,0.333333333,0.658066667,yes,yes,yes
Where do the suspended particles come from?,deepset/roberta-base-squad2,exposure level,"From the exhaust gases of cars, industry, dust from the ground, agricultural construction",exposure level,from the exhaust gases of cars industry dust from the ground agricultural construction,επίπεδο έκθεσης,"Από τα καυσαέρια αυτοκινήτων, τη βιομηχανία, τη σκόνη από το έδαφος τις αγροτικές δραστηριότητες τις οικοδομικές κατασκευές",0.440163314,0.549,0.116,0.14,0.02,-0.06,0,0.1434,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,"exhaust gases of cars, industry, dust from the ground, agricultural construction","From the exhaust gases of cars, industry, dust from the ground, agricultural construction",exhaust gases of cars industry dust from the ground agricultural construction,from the exhaust gases of cars industry dust from the ground agricultural construction,"εξατμίσεως των αυτοκινήτων, βιομηχανία, σκόνη από το έδαφος, γεωργικές κατασκευές","Από τα καυσαέρια αυτοκινήτων, τη βιομηχανία, τη σκόνη από το έδαφος τις αγροτικές δραστηριότητες τις οικοδομικές κατασκευές",0.489272684,0.992,0.895,0.945,0.987,0.899,0.916666667,0.960533333,yes,yes,yes
,distilbert-base-cased-distilled-squad,coronary events,"From the exhaust gases of cars, industry, dust from the ground, agricultural construction",coronary events,from the exhaust gases of cars industry dust from the ground agricultural construction,στεφανιαία επεισόδια,"Από τα καυσαέρια αυτοκινήτων, τη βιομηχανία, τη σκόνη από το έδαφος τις αγροτικές δραστηριότητες τις οικοδομικές κατασκευές",0.388912588,0.314,0.116,0.198,0.153,-0.012,0,0.1554,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,"exhaust gases of cars, industry, dust from the ground, agricultural construction","From the exhaust gases of cars, industry, dust from the ground, agricultural construction",exhaust gases of cars industry dust from the ground agricultural construction,from the exhaust gases of cars industry dust from the ground agricultural construction,"εξατμίσεως των αυτοκινήτων, βιομηχανία, σκόνη από το έδαφος, γεωργικές κατασκευές","Από τα καυσαέρια αυτοκινήτων, τη βιομηχανία, τη σκόνη από το έδαφος τις αγροτικές δραστηριότητες τις οικοδομικές κατασκευές",0.423232675,0.992,0.895,0.945,0.987,0.899,0.916666667,0.960533333,yes,yes,yes
,distilbert-base-uncased-distilled-squad,"exhaust gases of cars, industry, dust from the ground, agricultural construction","From the exhaust gases of cars, industry, dust from the ground, agricultural construction",exhaust gases of cars industry dust from the ground agricultural construction,from the exhaust gases of cars industry dust from the ground agricultural construction,"εξατμίσεως των αυτοκινήτων, βιομηχανία, σκόνη από το έδαφος, γεωργικές κατασκευές","Από τα καυσαέρια αυτοκινήτων, τη βιομηχανία, τη σκόνη από το έδαφος τις αγροτικές δραστηριότητες τις οικοδομικές κατασκευές",0.318280846,0.992,0.895,0.945,0.987,0.899,0.916666667,0.960533333,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,exhaust gases,"From the exhaust gases of cars, industry, dust from the ground, agricultural construction",exhaust gases,from the exhaust gases of cars industry dust from the ground agricultural construction,καυσαέριο,"Από τα καυσαέρια αυτοκινήτων, τη βιομηχανία, τη σκόνη από το έδαφος τις αγροτικές δραστηριότητες τις οικοδομικές κατασκευές",0.301939011,0.625,0.151,0.263,0.388,0.031,0.266666667,0.374933333,partially,no,partially
,deepset/minilm-uncased-squad2,"exhaust gases of cars, industry, dust from the ground, agricultural construction","From the exhaust gases of cars, industry, dust from the ground, agricultural construction",exhaust gases of cars industry dust from the ground agricultural construction,from the exhaust gases of cars industry dust from the ground agricultural construction,"εξατμίσεως των αυτοκινήτων, βιομηχανία, σκόνη από το έδαφος, γεωργικές κατασκευές","Από τα καυσαέρια αυτοκινήτων, τη βιομηχανία, τη σκόνη από το έδαφος τις αγροτικές δραστηριότητες τις οικοδομικές κατασκευές",0.327219188,0.992,0.895,0.945,0.987,0.899,0.916666667,0.960533333,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,"exhaust gases of cars, industry, dust from the ground, agricultural construction","From the exhaust gases of cars, industry, dust from the ground, agricultural construction",exhaust gases of cars industry dust from the ground agricultural construction,from the exhaust gases of cars industry dust from the ground agricultural construction,"εξατμίσεως των αυτοκινήτων, βιομηχανία, σκόνη από το έδαφος, γεωργικές κατασκευές","Από τα καυσαέρια αυτοκινήτων, τη βιομηχανία, τη σκόνη από το έδαφος τις αγροτικές δραστηριότητες τις οικοδομικές κατασκευές",0.307686269,0.992,0.895,0.945,0.987,0.899,0.916666667,0.960533333,yes,yes,yes
,deepset/bert-base-cased-squad2,the exhaust gases of cars,"From the exhaust gases of cars, industry, dust from the ground, agricultural construction",the exhaust gases of cars,from the exhaust gases of cars industry dust from the ground agricultural construction,τα καυσαέρια των αυτοκινήτων,"Από τα καυσαέρια αυτοκινήτων, τη βιομηχανία, τη σκόνη από το έδαφος τις αγροτικές δραστηριότητες τις οικοδομικές κατασκευές",0.195598438,0.874,0.291,0.45,0.691,0.345,0.555555556,0.636411111,partially,partially,partially
,bert-large-cased-whole-word-masking-finetuned-squad,"exhaust gases of cars, industry, dust from the ground, agricultural construction","From the exhaust gases of cars, industry, dust from the ground, agricultural construction",exhaust gases of cars industry dust from the ground agricultural construction,from the exhaust gases of cars industry dust from the ground agricultural construction,"εξατμίσεως των αυτοκινήτων, βιομηχανία, σκόνη από το έδαφος, γεωργικές κατασκευές","Από τα καυσαέρια αυτοκινήτων, τη βιομηχανία, τη σκόνη από το έδαφος τις αγροτικές δραστηριότητες τις οικοδομικές κατασκευές",0.349857569,0.992,0.895,0.945,0.987,0.899,0.916666667,0.960533333,yes,yes,yes
How does the diameter of suspended particles relate to the damage they cause?,deepset/roberta-base-squad2,more harmful they prove to health,"The smaller the diameter of the suspended particles, the more harmful they turn out to be for health",more harmful they prove to health,the smaller the diameter of the suspended particles the more harmful they turn out to be for health,πιο βλαβερά αποδεικνύονται για την υγεία,"Όσο πιο μικρή διάμετρο έχουν τα αιωρούμενα σωματίδια, τόσο πιο επιβλαβή αποδεικνύονται για την υγεία",0.105747938,0.841,0.303,0.455,0.811,0.618,0.416666667,0.651733333,no,yes,no
,bert-large-uncased-whole-word-masking-finetuned-squad,the more harmful they prove to health,"The smaller the diameter of the suspended particles, the more harmful they turn out to be for health",the more harmful they prove to health,the smaller the diameter of the suspended particles the more harmful they turn out to be for health,Όσο πιο βλαβερά αποδεικνύονται για την υγεία,"Όσο πιο μικρή διάμετρο έχουν τα αιωρούμενα σωματίδια, τόσο πιο επιβλαβή αποδεικνύονται για την υγεία",0.171072513,0.891,0.343,0.5,0.859,0.598,0.48,0.7021,no,yes,no
,distilbert-base-cased-distilled-squad,"smaller the diameter of the suspended particles, the more harmful they prove to health","The smaller the diameter of the suspended particles, the more harmful they turn out to be for health",smaller the diameter of the suspended particles the more harmful they prove to health,the smaller the diameter of the suspended particles the more harmful they turn out to be for health,"Όσο πιο μικρή είναι η διάμετρος των αιωρούμενων σωματιδίων, τόσο πιο βλαβερά αποδεικνύονται για την υγεία.","Όσο πιο μικρή διάμετρο έχουν τα αιωρούμενα σωματίδια, τόσο πιο επιβλαβή αποδεικνύονται για την υγεία",0.213561997,0.986,0.828,0.891,0.98,0.957,0.6875,0.8986,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,"smaller the diameter of the suspended particles, the more harmful they prove to health","The smaller the diameter of the suspended particles, the more harmful they turn out to be for health",smaller the diameter of the suspended particles the more harmful they prove to health,the smaller the diameter of the suspended particles the more harmful they turn out to be for health,"Όσο πιο μικρή είναι η διάμετρος των αιωρούμενων σωματιδίων, τόσο πιο βλαβερά αποδεικνύονται για την υγεία.","Όσο πιο μικρή διάμετρο έχουν τα αιωρούμενα σωματίδια, τόσο πιο επιβλαβή αποδεικνύονται για την υγεία",0.248214558,0.986,0.828,0.891,0.98,0.957,0.6875,0.8986,yes,yes,yes
,distilbert-base-uncased-distilled-squad,more harmful they prove to health,"The smaller the diameter of the suspended particles, the more harmful they turn out to be for health",more harmful they prove to health,the smaller the diameter of the suspended particles the more harmful they turn out to be for health,πιο βλαβερά αποδεικνύονται για την υγεία,"Όσο πιο μικρή διάμετρο έχουν τα αιωρούμενα σωματίδια, τόσο πιο επιβλαβή αποδεικνύονται για την υγεία",0.144819498,0.841,0.303,0.455,0.811,0.618,0.416666667,0.651733333,no,yes,no
,rsvp-ai/bertserini-bert-base-squad,smaller,"The smaller the diameter of the suspended particles, the more harmful they turn out to be for health",smaller,the smaller the diameter of the suspended particles the more harmful they turn out to be for health,μικρότερο,"Όσο πιο μικρή διάμετρο έχουν τα αιωρούμενα σωματίδια, τόσο πιο επιβλαβή αποδεικνύονται για την υγεία",0.531252027,0.621,0.071,0.132,0.234,0.324,0.105263158,0.259152632,no,no,no
,deepset/minilm-uncased-squad2,The smaller,"The smaller the diameter of the suspended particles, the more harmful they turn out to be for health",the smaller,the smaller the diameter of the suspended particles the more harmful they turn out to be for health,Ο μικρότερος,"Όσο πιο μικρή διάμετρο έχουν τα αιωρούμενα σωματίδια, τόσο πιο επιβλαβή αποδεικνύονται για την υγεία",0.062903561,0.837,0.111,0.2,0.333,0.309,0.2,0.3717,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,smaller,"The smaller the diameter of the suspended particles, the more harmful they turn out to be for health",smaller,the smaller the diameter of the suspended particles the more harmful they turn out to be for health,μικρότερο,"Όσο πιο μικρή διάμετρο έχουν τα αιωρούμενα σωματίδια, τόσο πιο επιβλαβή αποδεικνύονται για την υγεία",0.276058346,0.621,0.071,0.132,0.234,0.324,0.105263158,0.259152632,no,no,no
,deepset/bert-base-cased-squad2,the more harmful they prove to health,"The smaller the diameter of the suspended particles, the more harmful they turn out to be for health",the more harmful they prove to health,the smaller the diameter of the suspended particles the more harmful they turn out to be for health,Όσο πιο βλαβερά αποδεικνύονται για την υγεία,"Όσο πιο μικρή διάμετρο έχουν τα αιωρούμενα σωματίδια, τόσο πιο επιβλαβή αποδεικνύονται για την υγεία",0.059605557,0.891,0.343,0.5,0.859,0.598,0.48,0.7021,no,yes,no
