question,model,en_model_answer,en_correct_answer,modified_model_answer,modified_correct_answer,gr_model_answer,gr_correct_answer,model_prediction_score,nlp_score,levenshtein_score,substring_score,sentence_transformers_score,greek_sentence_transformers_score,F1_score,weighted_total_score,is_correct (labeled by human),is_correct (labeled by machine),is_correct (labeled by human)
,distilbert-base-uncased-distilled-squad,Southeast of the city is the Orphanage,West and northwest of Aegina,southeast of the city is the orphanage,west and northwest of aegina,Νοτιοανατολικά της πόλης βρίσκεται το Ορφανοτροφείο.,Δυτικά και βορειοδυτικά της Αίγινας,0.319398552,0.82,0.289,0.455,0.486,0.387,0.166666667,0.466133333,no,no,no
,rsvp-ai/bertserini-bert-base-squad,West and northwest there are the residential areas of Aegina,West and northwest of Aegina,west and northwest there are the residential areas of aegina,west and northwest of aegina,Δυτικά και βορειοδυτικά υπάρχουν οι κατοικημένες περιοχές της Αίγινας,Δυτικά και βορειοδυτικά της Αίγινας,0.129328594,0.894,0.467,0.636,0.832,0.79,0.666666667,0.755233333,yes,yes,yes
,deepset/minilm-uncased-squad2,West and northwest there are the residential areas of Aegina,West and northwest of Aegina,west and northwest there are the residential areas of aegina,west and northwest of aegina,Δυτικά και βορειοδυτικά υπάρχουν οι κατοικημένες περιοχές της Αίγινας,Δυτικά και βορειοδυτικά της Αίγινας,0.217684612,0.894,0.467,0.636,0.832,0.79,0.666666667,0.755233333,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,West and northwest there are the residential areas of Aegina,West and northwest of Aegina,west and northwest there are the residential areas of aegina,west and northwest of aegina,Δυτικά και βορειοδυτικά υπάρχουν οι κατοικημένες περιοχές της Αίγινας,Δυτικά και βορειοδυτικά της Αίγινας,0.519274712,0.894,0.467,0.636,0.832,0.79,0.666666667,0.755233333,yes,yes,yes
,deepset/bert-base-cased-squad2,to the left,West and northwest of Aegina,to the left,west and northwest of aegina,προς τα αριστερά,Δυτικά και βορειοδυτικά της Αίγινας,0.234839931,0.612,0.25,0.359,0.546,0.216,0,0.4017,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,West and northwest there are the residential areas of Aegina,West and northwest of Aegina,west and northwest there are the residential areas of aegina,west and northwest of aegina,Δυτικά και βορειοδυτικά υπάρχουν οι κατοικημένες περιοχές της Αίγινας,Δυτικά και βορειοδυτικά της Αίγινας,0.524066687,0.894,0.467,0.636,0.832,0.79,0.666666667,0.755233333,yes,yes,yes
Who was the first governor of Greece?,deepset/roberta-base-squad2,Ioannis Kapodistrias,Ioannis Kapodistrias,ioannis kapodistrias,ioannis kapodistrias,Ιωάννης Καποδίστριας,ο Ιωάννης Καποδίστρια,0.898817539,1,1,1,1,0.988,1,1,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,Ioannis Kapodistrias,Ioannis Kapodistrias,ioannis kapodistrias,ioannis kapodistrias,Ιωάννης Καποδίστριας,ο Ιωάννης Καποδίστρια,0.899773955,1,1,1,1,0.988,1,1,yes,yes,yes
,distilbert-base-cased-distilled-squad,Ioannis Kapodistrias,Ioannis Kapodistrias,ioannis kapodistrias,ioannis kapodistrias,Ιωάννης Καποδίστριας,ο Ιωάννης Καποδίστρια,0.958477795,1,1,1,1,0.988,1,1,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,Ioannis Kapodistrias,Ioannis Kapodistrias,ioannis kapodistrias,ioannis kapodistrias,Ιωάννης Καποδίστριας,ο Ιωάννης Καποδίστρια,0.949722409,1,1,1,1,0.988,1,1,yes,yes,yes
,distilbert-base-uncased-distilled-squad,Ioannis Kapodistrias,Ioannis Kapodistrias,ioannis kapodistrias,ioannis kapodistrias,Ιωάννης Καποδίστριας,ο Ιωάννης Καποδίστρια,0.966363728,1,1,1,1,0.988,1,1,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,Ioannis Kapodistrias,Ioannis Kapodistrias,ioannis kapodistrias,ioannis kapodistrias,Ιωάννης Καποδίστριας,ο Ιωάννης Καποδίστρια,0.983185709,1,1,1,1,0.988,1,1,yes,yes,yes
,deepset/minilm-uncased-squad2,Ioannis Kapodistrias,Ioannis Kapodistrias,ioannis kapodistrias,ioannis kapodistrias,Ιωάννης Καποδίστριας,ο Ιωάννης Καποδίστρια,0.966264188,1,1,1,1,0.988,1,1,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,Ioannis Kapodistrias,Ioannis Kapodistrias,ioannis kapodistrias,ioannis kapodistrias,Ιωάννης Καποδίστριας,ο Ιωάννης Καποδίστρια,0.863098979,1,1,1,1,0.988,1,1,yes,yes,yes
,deepset/bert-base-cased-squad2,Ioannis Kapodistrias,Ioannis Kapodistrias,ioannis kapodistrias,ioannis kapodistrias,Ιωάννης Καποδίστριας,ο Ιωάννης Καποδίστρια,0.984234452,1,1,1,1,0.988,1,1,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,Ioannis Kapodistrias,Ioannis Kapodistrias,ioannis kapodistrias,ioannis kapodistrias,Ιωάννης Καποδίστριας,ο Ιωάννης Καποδίστρια,0.773932278,1,1,1,1,0.988,1,1,yes,yes,yes
How do they say the man who jumped from the 39000 meters?,deepset/roberta-base-squad2,A madman,Felix Baumgartner,a madman,felix baumgartner,Ένας τρελός,Φέλιξ Μπαουμγκάρτνερ,0.141375944,0.021,0.294,0.32,0.529,0.338,0,0.2772,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,world champion,Felix Baumgartner,world champion,felix baumgartner,παγκόσμιος πρωταθλητής,Φέλιξ Μπαουμγκάρτνερ,0.096226208,0.029,0.176,0.129,0.353,0.409,0,0.1775,no,no,no
,distilbert-base-cased-distilled-squad,Felix Baumgartner,Felix Baumgartner,felix baumgartner,felix baumgartner,Φίλιξ Μπάουμγκαρτνερ,Φέλιξ Μπαουμγκάρτνερ,0.274151117,1,1,1,1,0.93,1,1,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,faster than the speed with which the sound travels,Felix Baumgartner,faster than the speed with which the sound travels,felix baumgartner,γρηγορότερα από την ταχύτητα με την οποία ταξιδεύει ο ήχος,Φέλιξ Μπαουμγκάρτνερ,0.047318757,-0.156,0.14,0.149,0.393,0.115,0,0.1549,no,no,no
,distilbert-base-uncased-distilled-squad,Felix Baumgartner,Felix Baumgartner,felix baumgartner,felix baumgartner,Φίλιξ Μπάουμγκαρτνερ,Φέλιξ Μπαουμγκάρτνερ,0.793471515,1,1,1,1,0.93,1,1,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,faster than the speed with which the sound travels,Felix Baumgartner,faster than the speed with which the sound travels,felix baumgartner,γρηγορότερα από την ταχύτητα με την οποία ταξιδεύει ο ήχος,Φέλιξ Μπαουμγκάρτνερ,0.072966546,-0.156,0.14,0.149,0.393,0.115,0,0.1549,no,no,no
,deepset/minilm-uncased-squad2,madman,Felix Baumgartner,madman,felix baumgartner,τρελός,Φέλιξ Μπαουμγκάρτνερ,0.156413406,0.177,0.235,0.261,0.547,0.322,0,0.3038,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,A madman like me,Felix Baumgartner,a madman like me,felix baumgartner,Ένας τρελός σαν εμένα.,Φέλιξ Μπαουμγκάρτνερ,0.237247735,-0.048,0.059,0.182,0.514,0.258,0,0.2201,no,no,no
,deepset/bert-base-cased-squad2,Felix Baumgartner,Felix Baumgartner,felix baumgartner,felix baumgartner,Φίλιξ Μπάουμγκαρτνερ,Φέλιξ Μπαουμγκάρτνερ,0.252534658,1,1,1,1,0.93,1,1,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,madman,Felix Baumgartner,madman,felix baumgartner,τρελός,Φέλιξ Μπαουμγκάρτνερ,0.340888262,0.177,0.235,0.261,0.547,0.322,0,0.3038,no,no,no
Where did Felix learn to follow the rules?,deepset/roberta-base-squad2,in the army,in the army,in the army,in the army,στο στρατό,στο στρατό,0.077703014,1,1,1,1,1,1,1,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,paratroopers,in the army,paratroopers,in the army,Αλεξιπτωτιστές,στο στρατό,0.205352262,0.274,0.083,0.174,0.595,0.42,0,0.3185,partially,no,partially
,distilbert-base-cased-distilled-squad,in the army I was in the paratroopers,in the army,in the army i was in the paratroopers,in the army,στο στρατό ήμουν στους αλεξιπτωτιστές.,στο στρατό,0.387731731,0.934,0.297,0.458,0.673,0.681,0.545454545,0.640590909,partially,partially,partially
,deepset/bert-large-uncased-whole-word-masking-squad2,in the army I was in the paratroopers again,in the army,in the army i was in the paratroopers again,in the army,στο στρατό ήμουν πάλι στους αλεξιπτωτιστές.,στο στρατό,0.171595678,0.92,0.256,0.407,0.603,0.592,0.5,0.5915,partially,partially,partially
,distilbert-base-uncased-distilled-squad,the army I was in the paratroopers,in the army,the army i was in the paratroopers,in the army,ο στρατός που ήμουν στους αλεξιπτωτιστές.,στο στρατό,0.230483726,0.914,0.265,0.356,0.613,0.633,0.6,0.6101,partially,partially,partially
,rsvp-ai/bertserini-bert-base-squad,on the rooftops of apartment buildings,in the army,on the rooftops of apartment buildings,in the army,στις στέγες των πολυκατοισιών,στο στρατό,0.167566657,0.65,0.237,0.367,0.448,0.424,0.222222222,0.414044444,no,no,no
,deepset/minilm-uncased-squad2,parachute club,in the army,parachute club,in the army,λέσχη αλεξιπτωτιστών,στο στρατό,0.383199155,0.404,0.214,0.16,0.383,0.378,0,0.2714,partially,no,partially
,dmis-lab/biobert-large-cased-v1.1-squad,in the army I was in the paratroopers,in the army,in the army i was in the paratroopers,in the army,στο στρατό ήμουν στους αλεξιπτωτιστές.,στο στρατό,0.209431946,0.934,0.297,0.458,0.673,0.681,0.545454545,0.640590909,partially,partially,partially
,deepset/bert-base-cased-squad2,in the army,in the army,in the army,in the army,στο στρατό,στο στρατό,0.24757117,1,1,1,1,1,1,1,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,paratroopers,in the army,paratroopers,in the army,Αλεξιπτωτιστές,στο στρατό,0.487668186,0.274,0.083,0.174,0.595,0.42,0,0.3185,partially,no,partially
How many leaps has Felix made?,deepset/roberta-base-squad2,2600,2.6,2600,26,2600,2600,0.766528726,-,-,-,-,1,-,0,yes,no,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,2600,2.6,2600,26,2600,2600,0.586647332,-,-,-,-,1,-,0,yes,no,yes
,distilbert-base-cased-distilled-squad,2600,2.6,2600,26,2600,2600,0.863615751,-,-,-,-,1,-,0,yes,no,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,2600,2.6,2600,26,2600,2600,0.572385013,-,-,-,-,1,-,0,yes,no,yes
,distilbert-base-uncased-distilled-squad,2600,2.6,2600,26,2600,2600,0.891609073,-,-,-,-,1,-,0,yes,no,yes
,rsvp-ai/bertserini-bert-base-squad,2600,2.6,2600,26,2600,2600,0.863599658,-,-,-,-,1,-,0,yes,no,yes
,deepset/minilm-uncased-squad2,2600,2.6,2600,26,2600,2600,0.844941378,-,-,-,-,1,-,0,yes,no,yes
,dmis-lab/biobert-large-cased-v1.1-squad,2600,2.6,2600,26,2600,2600,0.77234149,-,-,-,-,1,-,0,yes,no,yes
,deepset/bert-base-cased-squad2,2600,2.6,2600,26,2600,2600,0.65849334,-,-,-,-,1,-,0,yes,no,yes
,bert-large-cased-whole-word-masking-finetuned-squad,2600,2.6,2600,26,2600,2600,0.824401975,-,-,-,-,1,-,0,yes,no,yes
Where was Felix born?,deepset/roberta-base-squad2,Salzburg,in Salzburg,salzburg,in salzburg,Σάλτσμπουργκ,στο Σάλτσμπουργκ,0.756593406,0.793,0.727,0.842,0.958,0.773,0.666666667,0.832033333,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,Salzburg,in Salzburg,salzburg,in salzburg,Σάλτσμπουργκ,στο Σάλτσμπουργκ,0.948784053,0.793,0.727,0.842,0.958,0.773,0.666666667,0.832033333,yes,yes,yes
,distilbert-base-cased-distilled-squad,Salzburg,in Salzburg,salzburg,in salzburg,Σάλτσμπουργκ,στο Σάλτσμπουργκ,0.959790289,0.793,0.727,0.842,0.958,0.773,0.666666667,0.832033333,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,Salzburg,in Salzburg,salzburg,in salzburg,Σάλτσμπουργκ,στο Σάλτσμπουργκ,0.821735919,0.793,0.727,0.842,0.958,0.773,0.666666667,0.832033333,yes,yes,yes
,distilbert-base-uncased-distilled-squad,Salzburg,in Salzburg,salzburg,in salzburg,Σάλτσμπουργκ,στο Σάλτσμπουργκ,0.81995374,0.793,0.727,0.842,0.958,0.773,0.666666667,0.832033333,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,Salzburg,in Salzburg,salzburg,in salzburg,Σάλτσμπουργκ,στο Σάλτσμπουργκ,0.977342784,0.793,0.727,0.842,0.958,0.773,0.666666667,0.832033333,yes,yes,yes
,deepset/minilm-uncased-squad2,Salzburg,in Salzburg,salzburg,in salzburg,Σάλτσμπουργκ,στο Σάλτσμπουργκ,0.963195384,0.793,0.727,0.842,0.958,0.773,0.666666667,0.832033333,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,Salzburg,in Salzburg,salzburg,in salzburg,Σάλτσμπουργκ,στο Σάλτσμπουργκ,0.976920843,0.793,0.727,0.842,0.958,0.773,0.666666667,0.832033333,yes,yes,yes
,deepset/bert-base-cased-squad2,Salzburg,in Salzburg,salzburg,in salzburg,Σάλτσμπουργκ,στο Σάλτσμπουργκ,0.968843639,0.793,0.727,0.842,0.958,0.773,0.666666667,0.832033333,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,Salzburg,in Salzburg,salzburg,in salzburg,Σάλτσμπουργκ,στο Σάλτσμπουργκ,0.898419082,0.793,0.727,0.842,0.958,0.773,0.666666667,0.832033333,yes,yes,yes
When was Felix born?,deepset/roberta-base-squad2,1949,1949,1949,1949,1949,το 1949,0.979226112,-,-,-,-,-,-,1,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,1949,1949,1949,1949,1949,το 1949,0.988785207,-,-,-,-,-,-,1,yes,yes,yes
,distilbert-base-cased-distilled-squad,1949,1949,1949,1949,1949,το 1949,0.995892346,-,-,-,-,-,-,1,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,1949,1949,1949,1949,1949,το 1949,0.937185287,-,-,-,-,-,-,1,yes,yes,yes
,distilbert-base-uncased-distilled-squad,1949,1949,1949,1949,1949,το 1949,0.975045323,-,-,-,-,-,-,1,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,1949,1949,1949,1949,1949,το 1949,0.981676757,-,-,-,-,-,-,1,yes,yes,yes
,deepset/minilm-uncased-squad2,1949,1949,1949,1949,1949,το 1949,0.935010612,-,-,-,-,-,-,1,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,1949,1949,1949,1949,1949,το 1949,0.971004426,-,-,-,-,-,-,1,yes,yes,yes
,deepset/bert-base-cased-squad2,1949,1949,1949,1949,1949,το 1949,0.899595857,-,-,-,-,-,-,1,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,1949,1949,1949,1949,1949,το 1949,0.984367847,-,-,-,-,-,-,1,yes,yes,yes
Why did Felix retire?,deepset/roberta-base-squad2,I feel like my body is 'getting older',I feel that my body is slowly 'aging',i feel like my body is getting older,i feel that my body is slowly aging,Νιώθω ότι το σώμα μου γερνάει.,Νιώθω πως το σώμα μου γερνάει σιγά-σιγά,0.166901633,0.947,0.556,0.648,0.836,0.936,0.625,0.7692,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,.,I feel that my body is slowly 'aging',,i feel that my body is slowly aging,.,Νιώθω πως το σώμα μου γερνάει σιγά-σιγά,0.777886569,0,0,0,0.451,0.017,0,0.1804,no,no,no
,distilbert-base-cased-distilled-squad,you broke another record of your own,I feel that my body is slowly 'aging',you broke another record of your own,i feel that my body is slowly aging,έσπασες κι άλλο δικό σου ρεκόρ.,Νιώθω πως το σώμα μου γερνάει σιγά-σιγά,0.321108371,0.782,0.167,0.197,0.462,0.098,0,0.3776,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,my body is 'getting older,I feel that my body is slowly 'aging',my body is getting older,i feel that my body is slowly aging,το σώμα μου γερνάει,Νιώθω πως το σώμα μου γερνάει σιγά-σιγά,0.042498663,0.917,0.314,0.508,0.798,0.731,0.461538462,0.677107692,yes,yes,yes
,distilbert-base-uncased-distilled-squad,A childhood dream has finally come true!Reporter: The moment you fell,I feel that my body is slowly 'aging',a childhood dream has finally come true!reporter the moment you fell,i feel that my body is slowly aging,Ένα παιδικό όνειρο επιτέλους πραγματοποιήθηκε! Τη στιγμή που έπεσες,Νιώθω πως το σώμα μου γερνάει σιγά-σιγά,0.029511191,0.848,0.191,0.233,0.358,0.087,0,0.3552,no,no,no
,rsvp-ai/bertserini-bert-base-squad,dangerous sports,I feel that my body is slowly 'aging',dangerous sports,i feel that my body is slowly aging,επικίνδυνα αθλήματα,Νιώθω πως το σώμα μου γερνάει σιγά-σιγά,0.233250648,0.519,0.171,0.196,0.331,0.099,0,0.2729,no,no,no
,deepset/minilm-uncased-squad2,I feel like my body is 'getting older' little by little,I feel that my body is slowly 'aging',i feel like my body is getting older little by little,i feel that my body is slowly aging,"Νιώθω ότι το σώμα μου ""γερνάει"" σιγά-σιγά.",Νιώθω πως το σώμα μου γερνάει σιγά-σιγά,0.114042394,0.924,0.434,0.523,0.872,0.957,0.526315789,0.734563158,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,"because I also do boxing, mountaineering and running in rally races",I feel that my body is slowly 'aging',because i also do boxing mountaineering and running in rally races,i feel that my body is slowly aging,"επειδή κάνω επίσης πυγμαχία, ορειβασία και τρέξιμο σε αγώνες ράλι",Νιώθω πως το σώμα μου γερνάει σιγά-σιγά,0.042161036,0.745,0.182,0.198,-0.016,0.235,0.105263158,0.201652632,no,no,no
,deepset/bert-base-cased-squad2,dangerous sports,I feel that my body is slowly 'aging',dangerous sports,i feel that my body is slowly aging,επικίνδυνα αθλήματα,Νιώθω πως το σώμα μου γερνάει σιγά-σιγά,0.158379227,0.519,0.171,0.196,0.331,0.099,0,0.2729,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,A childhood dream has finally come true,I feel that my body is slowly 'aging',a childhood dream has finally come true,i feel that my body is slowly aging,Ένα παιδικό όνειρο επιτέλους πραγματοποιήθηκε,Νιώθω πως το σώμα μου γερνάει σιγά-σιγά,0.075237989,0.809,0.179,0.297,0.503,0.125,0,0.4106,no,no,no
Where was the tallest building in the world until then?,deepset/roberta-base-squad2,Taipei Tower,at Taipei Tower in Taiwan,taipei tower,at taipei tower in taiwan,Πύργος της Ταϊπέι,στον Πύργο Ταϊπέι στην Ταϊβάν,0.359500945,0.83,0.48,0.649,0.907,0.545,0.571428571,0.755985714,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,Taipei Tower in Taiwan,at Taipei Tower in Taiwan,taipei tower in taiwan,at taipei tower in taiwan,Πύργος της Ταϊπέι στην Ταϊβάν,στον Πύργο Ταϊπέι στην Ταϊβάν,0.61388886,0.945,0.88,0.936,0.984,0.814,0.888888889,0.941977778,yes,yes,yes
,distilbert-base-cased-distilled-squad,Taipei Tower in Taiwan,at Taipei Tower in Taiwan,taipei tower in taiwan,at taipei tower in taiwan,Πύργος της Ταϊπέι στην Ταϊβάν,στον Πύργο Ταϊπέι στην Ταϊβάν,0.683052421,0.945,0.88,0.936,0.984,0.814,0.888888889,0.941977778,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,the Taipei Tower,at Taipei Tower in Taiwan,the taipei tower,at taipei tower in taiwan,ο Πύργος της Ταϊπέι,στον Πύργο Ταϊπέι στην Ταϊβάν,0.334723979,0.864,0.48,0.683,0.925,0.565,0.5,0.7591,yes,yes,yes
,distilbert-base-uncased-distilled-squad,Taipei Tower in Taiwan,at Taipei Tower in Taiwan,taipei tower in taiwan,at taipei tower in taiwan,Πύργος της Ταϊπέι στην Ταϊβάν,στον Πύργο Ταϊπέι στην Ταϊβάν,0.743686378,0.945,0.88,0.936,0.984,0.814,0.888888889,0.941977778,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,Taipei Tower in Taiwan,at Taipei Tower in Taiwan,taipei tower in taiwan,at taipei tower in taiwan,Πύργος της Ταϊπέι στην Ταϊβάν,στον Πύργο Ταϊπέι στην Ταϊβάν,0.7305426,0.945,0.88,0.936,0.984,0.814,0.888888889,0.941977778,yes,yes,yes
,deepset/minilm-uncased-squad2,Taipei Tower in Taiwan,at Taipei Tower in Taiwan,taipei tower in taiwan,at taipei tower in taiwan,Πύργος της Ταϊπέι στην Ταϊβάν,στον Πύργο Ταϊπέι στην Ταϊβάν,0.613735259,0.945,0.88,0.936,0.984,0.814,0.888888889,0.941977778,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,Taipei Tower in Taiwan,at Taipei Tower in Taiwan,taipei tower in taiwan,at taipei tower in taiwan,Πύργος της Ταϊπέι στην Ταϊβάν,στον Πύργο Ταϊπέι στην Ταϊβάν,0.59980166,0.945,0.88,0.936,0.984,0.814,0.888888889,0.941977778,yes,yes,yes
,deepset/bert-base-cased-squad2,Taipei Tower in Taiwan,at Taipei Tower in Taiwan,taipei tower in taiwan,at taipei tower in taiwan,Πύργος της Ταϊπέι στην Ταϊβάν,στον Πύργο Ταϊπέι στην Ταϊβάν,0.947328269,0.945,0.88,0.936,0.984,0.814,0.888888889,0.941977778,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,Taipei Tower in Taiwan,at Taipei Tower in Taiwan,taipei tower in taiwan,at taipei tower in taiwan,Πύργος της Ταϊπέι στην Ταϊβάν,στον Πύργο Ταϊπέι στην Ταϊβάν,0.634629846,0.945,0.88,0.936,0.984,0.814,0.888888889,0.941977778,yes,yes,yes
In how many years did Felix become a world champion?,deepset/roberta-base-squad2,two,In two,two,in two,Δύο,Σε δύο,0.559879482,0.852,0.5,0.667,0.977,0.921,0.666666667,0.811233333,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,two,In two,two,in two,Δύο,Σε δύο,0.549187601,0.852,0.5,0.667,0.977,0.921,0.666666667,0.811233333,yes,yes,yes
,distilbert-base-cased-distilled-squad,2600,In two,2600,in two,2600,Σε δύο,0.899244308,0.012,0,0,0.654,0.433,0,0.264,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,two,In two,two,in two,Δύο,Σε δύο,0.689422131,0.852,0.5,0.667,0.977,0.921,0.666666667,0.811233333,yes,yes,yes
,distilbert-base-uncased-distilled-squad,two years,In two,two years,in two,δύο χρόνια,Σε δύο,0.493509889,0.792,0.111,0.4,0.856,0.574,0.5,0.6519,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,two,In two,two,in two,Δύο,Σε δύο,0.747817397,0.852,0.5,0.667,0.977,0.921,0.666666667,0.811233333,yes,yes,yes
,deepset/minilm-uncased-squad2,two,In two,two,in two,Δύο,Σε δύο,0.640659451,0.852,0.5,0.667,0.977,0.921,0.666666667,0.811233333,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,2600,In two,2600,in two,2600,Σε δύο,0.652173042,0.012,0,0,0.654,0.433,0,0.264,no,no,no
,deepset/bert-base-cased-squad2,two,In two,two,in two,Δύο,Σε δύο,0.61086899,0.852,0.5,0.667,0.977,0.921,0.666666667,0.811233333,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,two,In two,two,in two,Δύο,Σε δύο,0.59604907,0.852,0.5,0.667,0.977,0.921,0.666666667,0.811233333,yes,yes,yes
What profession did Felix's father do?,deepset/roberta-base-squad2,carpenter,carpenter,carpenter,carpenter,μαραγκός,ξυλουργός,0.980502069,1,1,1,1,0.76,1,1,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,carpenter,carpenter,carpenter,carpenter,μαραγκός,ξυλουργός,0.985369086,1,1,1,1,0.76,1,1,yes,yes,yes
,distilbert-base-cased-distilled-squad,carpenter,carpenter,carpenter,carpenter,μαραγκός,ξυλουργός,0.992747009,1,1,1,1,0.76,1,1,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,carpenter,carpenter,carpenter,carpenter,μαραγκός,ξυλουργός,0.973008096,1,1,1,1,0.76,1,1,yes,yes,yes
,distilbert-base-uncased-distilled-squad,carpenter,carpenter,carpenter,carpenter,μαραγκός,ξυλουργός,0.992629647,1,1,1,1,0.76,1,1,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,carpenter,carpenter,carpenter,carpenter,μαραγκός,ξυλουργός,0.976081789,1,1,1,1,0.76,1,1,yes,yes,yes
,deepset/minilm-uncased-squad2,carpenter,carpenter,carpenter,carpenter,μαραγκός,ξυλουργός,0.979550242,1,1,1,1,0.76,1,1,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,carpenter,carpenter,carpenter,carpenter,μαραγκός,ξυλουργός,0.99206835,1,1,1,1,0.76,1,1,yes,yes,yes
,deepset/bert-base-cased-squad2,carpenter,carpenter,carpenter,carpenter,μαραγκός,ξυλουργός,0.970947921,1,1,1,1,0.76,1,1,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,carpenter,carpenter,carpenter,carpenter,μαραγκός,ξυλουργός,0.95717144,1,1,1,1,0.76,1,1,yes,yes,yes
What profession did Felix's mother do?,deepset/roberta-base-squad2,carpenter,farmer,carpenter,farmer,μαραγκός,αγρότισσα,0.513155103,0.484,0.444,0.533,0.609,0.508,0,0.4381,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,rural,farmer,rural,farmer,αγροτικός,αγρότισσα,0.876465499,0.526,0.167,0.364,0.702,0.958,0,0.4391,yes,no,yes
,distilbert-base-cased-distilled-squad,carpenter,farmer,carpenter,farmer,μαραγκός,αγρότισσα,0.988313735,0.484,0.444,0.533,0.609,0.508,0,0.4381,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,rural woman,farmer,rural woman,farmer,αγροτική γυναίκα,αγρότισσα,0.601813197,0.567,0.182,0.235,0.607,0.772,0,0.3979,yes,no,yes
,distilbert-base-uncased-distilled-squad,carpenter,farmer,carpenter,farmer,μαραγκός,αγρότισσα,0.905783355,0.484,0.444,0.533,0.609,0.508,0,0.4381,no,no,no
,rsvp-ai/bertserini-bert-base-squad,carpenter,farmer,carpenter,farmer,μαραγκός,αγρότισσα,0.954065025,0.484,0.444,0.533,0.609,0.508,0,0.4381,no,no,no
,deepset/minilm-uncased-squad2,carpenter,farmer,carpenter,farmer,μαραγκός,αγρότισσα,0.715939105,0.484,0.444,0.533,0.609,0.508,0,0.4381,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,rural,farmer,rural,farmer,αγροτικός,αγρότισσα,0.818983257,0.526,0.167,0.364,0.702,0.958,0,0.4391,yes,no,yes
,deepset/bert-base-cased-squad2,carpenter,farmer,carpenter,farmer,μαραγκός,αγρότισσα,0.556236863,0.484,0.444,0.533,0.609,0.508,0,0.4381,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,carpenter,farmer,carpenter,farmer,μαραγκός,αγρότισσα,0.714522898,0.484,0.444,0.533,0.609,0.508,0,0.4381,no,no,no
What did the man do in front of Amalia?,deepset/roberta-base-squad2,smoked one cigarette behind the other,smoked,smoked one cigarette behind the other,smoked,κάπνισε το ένα τσιγάρο πίσω από το άλλο,κάπνιζε,0.411453694,0.608,0.162,0.279,0.784,0.61,0.285714286,0.536442857,yes,partially,yes
